date; time; temperature; humidity 
2023-01-07; 15:09:32; 21.0; 74
2023-01-07; 15:09:41; 21.0; 75
2023-01-07; 15:10:50; 21.0; 74
2023-01-07; 15:10:52; 21.0; 74
2023-01-07; 15:10:53; 21.0; 80
2023-01-07; 15:10:55; 21.0; 80
2023-01-07; 15:10:57; 21.0; 80
2023-01-07; 15:24:13; 21.0; 74
2023-01-07; 16:01:59; 20.0; 74
2023-01-07; 16:04:39; 20.0; 74
2023-01-07; 16:05:02; 20.0; 74
2023-01-07; 16:30:07; 21.0; 76
2023-01-07; 17:00:07; 20.0; 73
2023-01-07; 17:30:07; 19.0; 76
2023-01-07; 18:00:07; 20.0; 73
2023-01-07; 18:30:08; 20.0; 70
2023-01-07; 19:00:06; 20.0; 69
2023-01-07; 19:30:06; 21.0; 69
2023-01-07; 20:00:06; 21.0; 67
2023-01-07; 20:30:07; 21.0; 66
2023-01-07; 21:00:07; 20.0; 66
2023-01-07; 21:30:07; 20.0; 67
2023-01-07; 22:00:07; 20.0; 66
2023-01-07; 22:30:07; 20.0; 68
2023-01-07; 23:00:07; 20.0; 70
2023-01-07; 23:30:07; 20.0; 73
2023-01-08; 00:00:07; 20.0; 75
2023-01-08; 00:30:07; 20.0; 75
2023-01-08; 01:00:08; 19.0; 80
2023-01-08; 01:30:07; 19.0; 87
2023-01-08; 02:00:07; 19.0; 84
2023-01-08; 02:30:07; 18.0; 87
2023-01-08; 03:00:07; 18.0; 87
2023-01-08; 03:30:08; 18.0; 87
2023-01-08; 04:00:07; 18.0; 88
2023-01-08; 04:30:07; 18.0; 89
2023-01-08; 05:00:06; 18.0; 88
2023-01-08; 05:30:07; 19.0; 86
2023-01-08; 06:00:07; 19.0; 85
2023-01-08; 06:30:07; 19.0; 85
2023-01-08; 07:00:07; 19.0; 84
2023-01-08; 07:30:07; 19.0; 84
2023-01-08; 08:00:07; 19.0; 85
2023-01-08; 08:30:08; 19.0; 84
2023-01-08; 09:00:07; 19.0; 87
2023-01-08; 09:30:07; 19.0; 88
2023-01-08; 10:00:07; 18.0; 89
2023-01-08; 10:30:06; 18.0; 90
2023-01-08; 11:00:07; 18.0; 91
2023-01-08; 11:30:06; 18.0; 92
2023-01-08; 12:00:06; 18.0; 92
2023-01-08; 12:30:07; 18.0; 85
2023-01-08; 13:00:07; 16.0; 80
2023-01-08; 13:30:07; 18.0; 80
2023-01-08; 14:00:02; 19.0; 75
2023-01-08; 14:30:07; 19.0; 73
2023-01-08; 15:00:07; 19.0; 70
2023-01-08; 15:30:07; 19.0; 75
2023-01-08; 16:00:07; 19.0; 76
2023-01-08; 16:30:01; 19.0; 71
2023-01-08; 17:00:07; 19.0; 73
2023-01-08; 17:30:07; 19.0; 71
2023-01-08; 18:00:07; 19.0; 72
2023-01-08; 18:30:01; 20.0; 70
2023-01-08; 19:00:06; 21.0; 69
2023-01-08; 19:30:07; 21.0; 70
2023-01-08; 20:00:07; 21.0; 71
2023-01-08; 20:30:07; 21.0; 71
2023-01-08; 21:00:07; 21.0; 72
2023-01-08; 21:30:07; 21.0; 69
2023-01-08; 22:00:02; 21.0; 68
2023-01-08; 22:30:07; 21.0; 67
2023-01-08; 23:00:06; 21.0; 68
2023-01-08; 23:30:07; 20.0; 72
2023-01-09; 00:00:04; 19.0; 79
2023-01-09; 00:30:08; 19.0; 80
2023-01-09; 01:00:07; 19.0; 81
2023-01-09; 01:30:07; 18.0; 83
2023-01-09; 02:00:07; 18.0; 85
2023-01-09; 02:30:06; 18.0; 84
2023-01-09; 03:00:07; 18.0; 85
2023-01-09; 03:30:07; 18.0; 86
2023-01-09; 04:00:06; 18.0; 86
2023-01-09; 04:30:07; 18.0; 86
2023-01-09; 05:00:03; 18.0; 87
2023-01-09; 05:30:07; 19.0; 85
2023-01-09; 06:00:07; 19.0; 84
2023-01-09; 06:30:01; 19.0; 83
2023-01-09; 07:00:01; 19.0; 82
2023-01-09; 07:30:07; 19.0; 78
2023-01-09; 08:00:02; 19.0; 79
2023-01-09; 08:30:05; 19.0; 79
2023-01-09; 09:00:02; 18.0; 81
2023-01-09; 09:30:02; 18.0; 82
2023-01-09; 10:00:02; 18.0; 82
2023-01-09; 10:30:01; 18.0; 82
2023-01-09; 11:00:02; 18.0; 83
2023-01-09; 11:30:02; 18.0; 83
2023-01-09; 12:00:02; 18.0; 83
2023-01-09; 12:30:02; 18.0; 83
2023-01-09; 13:00:06; 18.0; 83
2023-01-09; 13:30:04; 18.0; 82
2023-01-09; 14:00:04; 18.0; 82
2023-01-09; 14:30:03; 17.0; 81
2023-01-09; 15:00:03; 17.0; 81
2023-01-09; 15:30:07; 17.0; 81
2023-01-09; 16:00:07; 17.0; 82
2023-01-09; 16:30:03; 18.0; 81
2023-01-09; 17:00:07; 18.0; 80
2023-01-09; 17:30:07; 18.0; 80
2023-01-09; 18:00:06; 19.0; 79
2023-01-09; 18:30:07; 19.0; 72
2023-01-09; 19:00:07; 20.0; 72
2023-01-09; 19:30:07; 21.0; 71
2023-01-09; 20:00:07; 21.0; 68
2023-01-09; 20:30:08; 21.0; 69
2023-01-09; 21:00:07; 15.0; 71
2023-01-09; 21:30:02; 14.0; 72
2023-01-09; 22:00:07; 18.0; 72
2023-01-09; 22:30:07; 19.0; 66
2023-01-09; 23:00:07; 20.0; 67
2023-01-09; 23:30:07; 19.0; 69
2023-01-10; 00:00:02; 20.0; 71
2023-01-10; 00:30:06; 20.0; 72
2023-01-10; 01:00:06; 19.0; 73
2023-01-10; 01:30:07; 19.0; 75
2023-01-10; 02:00:07; 19.0; 74
2023-01-10; 02:30:07; 19.0; 75
2023-01-10; 03:00:07; 19.0; 76
2023-01-10; 03:30:06; 19.0; 77
2023-01-10; 04:00:06; 19.0; 78
2023-01-10; 04:30:07; 19.0; 79
2023-01-10; 05:00:06; 19.0; 78
2023-01-10; 05:30:07; 20.0; 75
2023-01-10; 06:00:07; 20.0; 75
2023-01-10; 06:30:07; 20.0; 76
2023-01-10; 07:00:07; 20.0; 75
2023-01-10; 07:30:06; 20.0; 75
2023-01-10; 08:00:06; 19.0; 75
2023-01-10; 08:30:07; 19.0; 76
2023-01-10; 09:00:07; 19.0; 75
2023-01-10; 09:30:07; 19.0; 75
2023-01-10; 10:00:07; 20.0; 70
2023-01-10; 10:30:07; 21.0; 69
2023-01-10; 11:00:07; 21.0; 67
2023-01-10; 11:30:08; 21.0; 68
2023-01-10; 12:00:07; 21.0; 68
2023-01-10; 12:30:06; 21.0; 67
2023-01-10; 13:00:06; 21.0; 67
2023-01-10; 13:30:07; 21.0; 62
2023-01-10; 14:00:07; 22.0; 61
2023-01-10; 14:30:07; 21.0; 60
2023-01-10; 15:00:07; 21.0; 60
2023-01-10; 15:30:07; 21.0; 60
2023-01-10; 16:00:05; 21.0; 60
2023-01-10; 16:30:04; 21.0; 60
2023-01-10; 17:00:04; 21.0; 60
2023-01-10; 17:30:07; 21.0; 60
2023-01-10; 18:00:07; 21.0; 60
2023-01-10; 18:30:07; 22.0; 59
2023-01-10; 19:00:06; 22.0; 58
2023-01-10; 19:30:07; 22.0; 59
2023-01-10; 20:00:07; 22.0; 60
2023-01-10; 20:30:07; 22.0; 60
2023-01-10; 21:00:07; 21.0; 59
2023-01-10; 21:30:07; 21.0; 60
2023-01-10; 22:00:07; 20.0; 65
2023-01-10; 22:30:07; 20.0; 68
2023-01-10; 23:00:07; 19.0; 70
2023-01-10; 23:30:07; 19.0; 71
2023-01-11; 00:00:07; 19.0; 71
2023-01-11; 00:30:07; 19.0; 72
2023-01-11; 01:00:07; 19.0; 72
2023-01-11; 01:30:07; 19.0; 73
2023-01-11; 02:00:07; 19.0; 75
2023-01-11; 02:30:07; 19.0; 76
2023-01-11; 03:00:07; 19.0; 78
2023-01-11; 03:30:07; 18.0; 79
2023-01-11; 04:00:07; 18.0; 81
2023-01-11; 04:30:07; 18.0; 80
2023-01-11; 05:00:07; 19.0; 79
2023-01-11; 05:30:06; 19.0; 77
2023-01-11; 06:00:06; 19.0; 76
2023-01-11; 06:30:07; 20.0; 76
2023-01-11; 07:00:07; 19.0; 75
2023-01-11; 07:30:07; 19.0; 74
2023-01-11; 08:00:07; 19.0; 75
2023-01-11; 08:30:07; 19.0; 75
2023-01-11; 09:00:07; 19.0; 75
2023-01-11; 09:30:06; 19.0; 75
2023-01-11; 10:00:07; 20.0; 69
2023-01-11; 10:30:02; 20.0; 67
2023-01-11; 11:00:02; 20.0; 67
2023-01-11; 11:30:02; 20.0; 67
2023-01-11; 12:00:02; 21.0; 65
2023-01-11; 12:30:01; 21.0; 61
2023-01-11; 13:00:01; 22.0; 60
2023-01-11; 13:30:02; 22.0; 60
2023-01-11; 14:00:02; 21.0; 60
2023-01-11; 14:30:01; 21.0; 60
2023-01-11; 15:00:07; 21.0; 60
2023-01-11; 15:30:06; 21.0; 60
2023-01-11; 16:00:03; 21.0; 60
2023-01-11; 16:30:03; 21.0; 59
2023-01-11; 17:00:07; 21.0; 60
2023-01-11; 17:30:07; 20.0; 59
2023-01-11; 18:00:07; 21.0; 59
2023-01-11; 18:30:07; 21.0; 55
2023-01-11; 19:00:07; 21.0; 56
2023-01-11; 19:30:07; 21.0; 57
2023-01-11; 20:00:07; 21.0; 61
2023-01-11; 20:30:07; 21.0; 62
2023-01-11; 21:00:07; 21.0; 59
2023-01-11; 21:30:07; 21.0; 59
2023-01-11; 22:00:07; 20.0; 62
2023-01-11; 22:30:07; 20.0; 66
2023-01-11; 23:00:07; 19.0; 69
2023-01-11; 23:30:07; 19.0; 69
2023-01-12; 00:00:06; 19.0; 69
2023-01-12; 00:30:07; 19.0; 72
2023-01-12; 01:00:07; 19.0; 72
2023-01-12; 01:30:07; 19.0; 73
2023-01-12; 02:00:07; 19.0; 74
2023-01-12; 02:30:07; 19.0; 74
2023-01-12; 03:00:06; 19.0; 75
2023-01-12; 03:30:07; 19.0; 75
2023-01-12; 04:00:07; 19.0; 76
2023-01-12; 04:30:07; 19.0; 77
2023-01-12; 05:00:07; 19.0; 76
2023-01-12; 05:30:07; 19.0; 73
2023-01-12; 06:00:07; 20.0; 73
2023-01-12; 06:30:07; 20.0; 73
2023-01-12; 07:00:07; 20.0; 74
2023-01-12; 07:30:06; 19.0; 72
2023-01-12; 08:00:06; 19.0; 73
